carnivora	非洲热带界	跑得最快的猫抢不回自己的猎物	猎豹	Acinonyx jubatus	猎豹	冲刺后体温过载必须停下喘息，猎物常被狮和鬣狗夺走，讲速度换来的生存代价	猎豹
carnivora	非洲热带界	夏天毛色褪成白的沙漠羚羊	旋角羚	Addax nasomaculatus	旋角羚	野外几近消失但圈养个体仍上千，讲保住了物种却没保住野生种群	旋角羚
carnivora	非洲热带界	非洲被吃最多却活得最好的羚羊	高角羚	Aepyceros melampus	高角羚	它是众多掠食者的主食，却是分布最广、数量最多的羚羊之一，讲被捕食压力如何变成生态成功	高角羚
carnivora	东洋界	靠一根多余的拇指吃素的熊	大熊猫	Ailuropoda melanoleuca	大熊猫	食肉目却几乎只吃竹子，靠桡侧籽骨演化出的伪拇指握茎，讲低同化率的硬扛	大熊猫
carnivora	非洲热带界	用成泡粪堆圈地的羚羊	狷羚	Alcelaphus buselaphus	狷羚	前肢长于后肢导致肩高臀低，领地边界排成对的粪堆当气味栅栏	狷羚
carnivora	古北界	嘴唇能抓树枝的鹿	驼鹿	Alces alces	驼鹿	下垂的上唇卷取水草，常潜水采水下植物，是现存体型最大的鹿	駝鹿
carnivora	非洲热带界	四脚同时弹离地面的羚羊	跳羚	Antidorcas marsupialis	跳羚	受惊或炫耀时四肢僵直腾跃，旱季可长时间不饮水，靠植被水分硬扛	跳羚
carnivora	新北界	为躲避已灭绝猎手而生的跑者	叉角羚	Antilocapra americana	叉角羚	持续高速是为摆脱已灭绝的美洲猎豹留下的装备，角鞘每年脱落更新为牛形类独有	叉角羚
carnivora	新北界	角像螺丝一样旋着长的羚羊	印度黑羚	Antilope cervicapra	印度黑羚	雄角可旋近三圈，被追时会垂直跃起，是印度传统猎豹捕猎的首要猎物	印度黑羚
carnivora	东洋界	身上带爆米花香味的灵猫	熊狸	Arctictis binturong	熊狸	少数能用卷缠尾倒挂枝头的哺乳动物，体味含与爆米花香气同种化合物	熊狸
carnivora	东洋界	长着猪鼻子的獾	猪獾	Arctonyx collaris	猪獾	鼻垫裸露似猪吻，靠拱土掘食蚯蚓与块茎，夜行性多居于石山地带	豬獾
carnivora	东洋界	只活在三个岛上的鹿	喀拉米豚鹿	Axis calamianensis	喀拉米豚鹿	仅分布于菲律宾布苏安加、库利翁、卡莱延三岛，曾遭猎捕致数量大降	喀拉米豚鹿
carnivora	东洋界	往上穿过自己鼻子的獠牙	鹿豚	Babyrousa babyrussa	鹿豚	上犬齿不向下而是顶穿上唇外翻贴向额头，磨损不足时可能扎进头骨，讲一支倒着长的牙	鹿豚
carnivora	新北界	脚踝能大幅扭转、头朝下爬树的夜行者	加氏犬浣熊	Bassaricyon gabbii	加氏犬浣熊	犬浣熊属踝关节活动度大，下树时可头朝下；夜行、多独居、以成熟果实为主食	加氏犬浣熊
carnivora	新北界	尾巴比身体还长的树洞住客	中美蓬尾浣熊	Bassariscus sumichrasti	中美蓬尾浣熊	蓬尾浣熊属里住低地雨林的种，白天藏身树洞与白蚁冢，尾长超过体长	中美蓬尾浣熊
carnivora	非洲热带界	群散之后，雄羚守着干河床不放	亨氏牛羚	Beatragus hunteri	亨氏牛羚	历史上曾结成大群，如今数量极少且不再形成大群，讲社会结构崩解与季节性河道上的领地	亨氏牛羚
carnivora	新热带界	蹄子张开像雪靴踩在烂泥上	沼泽鹿	Blastocerus dichotomus	沼泽鹿	南美体型最大的鹿，蹄宽而有弹性以适应季节性泛滥沼泽，汛期节奏决定其分布与繁殖	沼澤鹿
carnivora	东洋界	幼崽一个颜色，长大才分岔	爪哇野牛	Bos javanicus	爪哇野牛	牛属中幼崽雌雄同为黄褐、成年后雌保留橙红而老雄转灰白，讲换色与对开阔草地和水源的依赖	爪哇野牛
carnivora	新北界	名字里的「蓝牛」其实是羚羊	蓝牛羚	Boselaphus tragocamelus	蓝牛羚	雄羚随年龄转为钢蓝色，是亚洲体型最大的羚羊之一，雌与幼结群而成年雄独守领地	藍牛羚
carnivora	东洋界	苏拉威西缩在泥坑边的小野牛	低地水牛	Bubalus depressicornis	低地水牛	体型最小的野生牛科动物之一，不结群、领地性强，雌雄都长短三角形角	低地水牛
carnivora	东洋界	从金黄熬到黑褐的一身毛	羚牛	Budorcas taxicolor	羚牛	幼体金黄、成年转黄褐再变深，老年通体近黑；受惊时头高位翘尾示警并竖毛，讲换色与警报姿态	羚牛
carnivora	古北界	一夫一妻还留孩子当保姆	亚洲胡狼	Canis aureus	亚洲胡狼	多为一夫一妻制，当年幼崽由兄姐协助照看；食性极杂，跟着大型食肉动物拾食，也翻垃圾与捕鼠	亞洲胡狼
carnivora	古北界	只活在黑海与里海之间那条山脊	高加索羱羊	Capra caucasica	高加索羱羊	大高加索山脉西段特有种，分布狭窄，雄羊巨角向前弯曲，夏季上高山草甸、冬季退避风雪坡向	高加索羱羊
carnivora	古北界	能把飞鸟从半空中拍下来的猫	狞猫	Caracal caracal	狞猫	后腿爆发力使其垂直跃起扑捕空中的鸟与跳兔，耳尖黑簇毛可转动聚音；讲体型不大却会跳捕飞行物	獰貓
carnivora	新热带界	先被认识化石、四十年后才见到活的	草原西貒	Catagonus wagneri	草原西貒	先由化石标本命名，直到二十世纪才被确认在巴拉圭大查科仍存活，是「拉撒路物种」的经典案例	草原西貒
carnivora	非洲热带界	靠宽方唇贴地割草的犀牛	白犀	Ceratotherium simum	白犀	上唇宽平方正用于啃食地面草类，与钩唇的黑犀食性分化；讲巨体却以草为食与视觉差、靠嗅觉听觉代步	白犀
carnivora	新热带界	名字骗人，它其实吃螃蟹不多	食蟹狐	Cerdocyon thous	食蟹狐	虽名食蟹狐，主食实为蟹、昆虫与落果，随季节换食谱；一夫一妻、幼崽期由双亲共同喂养	食蟹狐
carnivora	东洋界	因取香腺而被掏空山头的灵猫	长颌带狸	Chrotogale owstoni	长颌带狸	分布于中南半岛与华南山地，体侧有断续带纹；野外捕杀取灵猫香与栖息地破碎使其濒危	长颌带狸
carnivora	非洲热带界	染色体数目在哺乳动物里数得上号	非洲灵猫	Civettictis civetta	非洲灵猫	灵猫科中体型最大之一，香腺分泌物是香水定香原料；二倍体染色体数高居哺乳类前列，讲人类取香史	非洲靈貓
carnivora	非洲热带界	雌性顶着伪阴茎当族长	斑鬣狗	Crocuta crocuta	斑鬣狗	母系等级社会，雌阴蒂特化为可交配分娩的伪阴茎，幼崽出生带利牙；讲「清道夫」名下其实多靠自己捕猎	斑鬣狗
